Dataset,Date,GraphType,NumNodes,NumEdges,AverageDegree,MeanNodeStrength,AverageWeightedDegree,NetworkDiameter,GraphDensity,Modularity,NumCommunities,NumFloatersRemoved
de,April28,ss,334,1576,4.718562874251497,30.634730538922156,15.317365269461078,7.0,0.014169858481235727,0.5247730125891692,10,0
de,April28,ss,334,1576,4.718562874251497,30.634730538922156,15.317365269461078,7.0,0.014169858481235727,0.5247730125891692,10,0
de,April28,ss,334,1576,4.718562874251497,30.634730538922156,15.317365269461078,7.0,0.014169858481235727,0.5247730125891692,10,0
de,April28,ss,334,1576,4.718562874251497,30.634730538922156,15.317365269461078,7.0,0.014169858481235727,0.5247730125891692,10,0
s,April23,ss,378,1435,3.7962962962962963,17.32804232804233,8.664021164021165,7.0,0.010069751449061795,0.574630233723963,10,0
tt,April28,ss,295,1218,4.128813559322034,23.959322033898307,11.979661016949153,9.0,0.014043583535108959,0.5350057747890884,16,0
tt,April28,ss,295,1218,4.128813559322034,23.959322033898307,11.979661016949153,9.0,0.014043583535108959,0.5353270523952184,16,0
s,April16,ss,378,1435,3.7962962962962963,17.32804232804233,8.664021164021165,7.0,0.010069751449061795,0.574630233723963,10,0
de,April28,ss,334,1576,4.718562874251497,30.634730538922156,15.317365269461078,7.0,0.014169858481235727,0.5247730125891692,10,0
to,April28,ss,749,2098,2.801068090787717,10.469959946595461,5.2349799732977305,7.0,0.0037447434368819746,0.546171024190952,33,0
pod,April25,ss,336,1974,5.875,47.17857142857143,23.589285714285715,7.0,0.01753731343283582,0.3956024258765667,5,0
pod,April25,ss,336,1974,5.875,47.17857142857143,23.589285714285715,7.0,0.01753731343283582,0.3956024258765667,5,0
fs,April28,ss,261,1286,4.9272030651340994,39.69348659003831,19.846743295019156,6.0,0.018950781019746538,0.5581709324856575,4,0
fs,April28,ss,261,1286,4.9272030651340994,39.69348659003831,19.846743295019156,6.0,0.018950781019746538,0.5581709324856575,4,0
fs,April28,ss,261,1286,4.9272030651340994,39.69348659003831,19.846743295019156,6.0,0.018950781019746538,0.5581709324856575,4,0
fs,April28,ss,261,1286,4.9272030651340994,39.69348659003831,19.846743295019156,6.0,0.018950781019746538,0.5581709324856575,4,0
fs,April28,ss,261,1286,4.9272030651340994,39.69348659003831,19.846743295019156,6.0,0.018950781019746538,0.5581709324856575,4,0
tt,April28,ss,295,1218,4.128813559322034,23.959322033898307,11.979661016949153,9.0,0.014043583535108959,0.535080231460582,16,0
tt,April28,ss,295,1218,4.128813559322034,23.959322033898307,11.979661016949153,9.0,0.014043583535108959,0.5350057747890884,16,0
s,April16,ss,378,1435,3.7962962962962963,17.32804232804233,8.664021164021165,7.0,0.010069751449061795,0.574630233723963,10,0
s,April16,ss,378,1435,3.7962962962962963,17.32804232804233,8.664021164021165,7.0,0.010069751449061795,0.574630233723963,10,0
fs,April28,ss,261,1286,4.9272030651340994,39.69348659003831,19.846743295019156,6.0,0.018950781019746538,0.5581709324856575,4,0
de,April28,ss,334,1576,4.718562874251497,30.634730538922156,15.317365269461078,7.0,0.014169858481235727,0.5247730125891692,10,0
pod,April25,ss,336,1974,5.875,47.17857142857143,23.589285714285715,7.0,0.01753731343283582,0.3956024258765667,5,0
s,April16,ss,378,1435,3.7962962962962963,17.32804232804233,8.664021164021165,7.0,0.010069751449061795,0.574630233723963,10,0
sh,April28,ss,354,1645,4.646892655367232,18.15819209039548,9.07909604519774,7.0,0.013164001856564396,0.5615887204657661,10,0
utc,April28,ss,307,1922,6.260586319218241,48.45602605863192,24.22801302931596,7.0,0.020459432415745885,0.6599727473803524,37,0
s,April16,ss,378,1435,3.7962962962962963,17.32804232804233,8.664021164021165,7.0,0.010069751449061795,0.5705971331216717,11,0
s,April16,ss,378,1435,3.7962962962962963,17.32804232804233,8.664021164021165,7.0,0.010069751449061795,0.5705971331216717,11,0
s,April16,ss,378,1435,3.7962962962962963,17.32804232804233,8.664021164021165,7.0,0.010069751449061795,0.574630233723963,10,0
s,April16,ss,378,1435,3.7962962962962963,17.32804232804233,8.664021164021165,7.0,0.010069751449061795,0.5705971331216717,11,0
utc,April28,ss,307,1922,6.260586319218241,48.45602605863192,24.22801302931596,7.0,0.020459432415745885,0.6599727473803524,37,0
de,April28,ss,334,1576,4.718562874251497,30.634730538922156,15.317365269461078,7.0,0.014169858481235727,0.5247730125891692,10,0
fs,April28,ss,261,1286,4.9272030651340994,39.69348659003831,19.846743295019156,6.0,0.018950781019746538,0.5581709324856575,4,0
pod,April25,ss,336,1974,5.875,47.17857142857143,23.589285714285715,7.0,0.01753731343283582,0.3956024258765667,5,0
sh,April28,ss,354,1645,4.646892655367232,18.15819209039548,9.07909604519774,7.0,0.013164001856564396,0.561588720465766,10,0
tt,April28,ss,295,1218,4.128813559322034,23.959322033898307,11.979661016949153,9.0,0.014043583535108959,0.5353270523952184,16,0
tt,April28,ss,295,1218,4.128813559322034,23.959322033898307,11.979661016949153,9.0,0.014043583535108959,0.5323418675140266,15,0
pod,April25,ss,336,1974,5.875,47.17857142857143,23.589285714285715,7.0,0.01753731343283582,0.3956024258765667,5,0
utc,April28,ss,307,1922,6.260586319218241,48.45602605863192,24.22801302931596,7.0,0.020459432415745885,0.6599727473803524,37,0
utc,April28,ss,307,1922,6.260586319218241,48.45602605863192,24.22801302931596,7.0,0.020459432415745885,0.6599727473803524,37,0
utc,April28,ss,307,1922,6.260586319218241,48.45602605863192,24.22801302931596,7.0,0.020459432415745885,0.6599727473803524,37,0
pod,April25,ss,336,1974,5.875,47.17857142857143,23.589285714285715,7.0,0.01753731343283582,0.3956024258765667,5,0
pod,April25,ss,336,1974,5.875,47.17857142857143,23.589285714285715,7.0,0.01753731343283582,0.3956024258765667,5,0
pod,April25,ss,336,1974,5.875,47.17857142857143,23.589285714285715,7.0,0.01753731343283582,0.3956024258765667,5,0
pod,April25,ss,336,1974,5.875,47.17857142857143,23.589285714285715,7.0,0.01753731343283582,0.3956024258765667,5,0
de,April28,ss,334,1576,4.718562874251497,30.634730538922156,15.317365269461078,7.0,0.014169858481235727,0.5247730125891692,10,0
fs,April28,ss,261,1286,4.9272030651340994,39.69348659003831,19.846743295019156,6.0,0.018950781019746538,0.5581709324856575,4,0
s,April23,ss,378,1435,3.7962962962962963,17.32804232804233,8.664021164021165,7.0,0.010069751449061795,0.5705971331216717,11,0
sh,April28,ss,354,1645,4.646892655367232,18.15819209039548,9.07909604519774,7.0,0.013164001856564396,0.5619737927996615,10,0
tt,April28,ss,295,1218,4.128813559322034,23.959322033898307,11.979661016949153,9.0,0.014043583535108959,0.5353270523952184,16,0
de,April28,ss,334,1576,4.718562874251497,30.634730538922156,15.317365269461078,7.0,0.014169858481235727,0.5247730125891692,10,0
de,April28,ss,334,1576,4.718562874251497,30.634730538922156,15.317365269461078,7.0,0.014169858481235727,0.5247730125891692,10,0
fs,April28,ss,261,1286,4.9272030651340994,39.69348659003831,19.846743295019156,6.0,0.018950781019746538,0.5581709324856575,4,0
pod,April25,ss,336,1974,5.875,47.17857142857143,23.589285714285715,7.0,0.01753731343283582,0.3956024258765667,5,0
s,April23,ss,378,1435,3.7962962962962963,17.32804232804233,8.664021164021165,7.0,0.010069751449061795,0.574630233723963,10,0
sh,April28,ss,354,1645,4.646892655367232,18.15819209039548,9.07909604519774,7.0,0.013164001856564396,0.561012254612798,10,0
to,April28,ss,749,2098,2.801068090787717,10.469959946595461,5.2349799732977305,7.0,0.0037447434368819746,0.5462223785031192,32,0
utc,April28,ss,307,1922,6.260586319218241,48.45602605863192,24.22801302931596,7.0,0.020459432415745885,0.6599727473803524,37,0
de,April28,ts,334,3503,20.976047904191617,54.275449101796404,54.275449101796404,4.0,0.06299113484742228,0.44141558892963956,7,0
fs,April28,ts,261,1803,13.816091954022989,39.724137931034484,39.724137931034484,4.0,0.05313881520778072,0.5291427289035112,5,0
pod,April25,ts,336,3695,21.99404761904762,59.57738095238095,59.57738095238095,4.0,0.06565387348969438,0.3835092776577012,4,0
s,April23,ts,378,3068,16.232804232804234,33.68783068783069,33.68783068783069,5.0,0.04305783616128444,0.41109883943212866,9,0
sh,April28,ts,354,3154,17.819209039548024,28.615819209039547,28.615819209039547,4.0,0.05047934572109922,0.42357375831856153,10,0
to,April28,ts,749,6892,18.40320427236315,24.264352469959945,24.264352469959945,4.0,0.024603214267865176,0.5841368077477673,12,0
tt,April28,ts,295,1834,12.433898305084746,28.00677966101695,28.00677966101695,5.0,0.04229217110573043,0.5244718464712991,11,0
utc,April28,ts,307,2632,17.14657980456026,58.156351791530945,58.156351791530945,4.0,0.05603457452470673,0.6316112133102962,36,0
de,April28,ex,334,290,0.8682634730538922,6.9640718562874255,3.4820359281437128,10.0,0.0026073978169786553,0.7334127363160898,249,0
de,April28,exnf,94,290,3.0851063829787235,24.74468085106383,12.372340425531915,10.0,0.033173186913749715,0.7334127363160898,9,240
fs,April28,ex,261,230,0.8812260536398467,9.003831417624522,4.501915708812261,8.0,0.003389330975537872,0.6365967338907447,191,0
fs,April28,exnf,76,230,3.026315789473684,30.92105263157895,15.460526315789474,8.0,0.04035087719298246,0.6365967338907447,6,185
pod,April25,ex,336,678,2.017857142857143,12.529761904761905,6.2648809523809526,7.0,0.006023454157782516,0.570859410430839,201,0
pod,April25,exnf,145,678,4.675862068965517,29.03448275862069,14.517241379310345,7.0,0.03247126436781609,0.5718730158730159,10,191
pod,April25,ex,336,678,2.017857142857143,12.529761904761905,6.2648809523809526,7.0,0.006023454157782516,0.570859410430839,201,0
pod,April25,exnf,145,678,4.675862068965517,29.03448275862069,14.517241379310345,7.0,0.03247126436781609,0.570859410430839,10,191
de,April28,ex,334,290,0.8682634730538922,6.9640718562874255,3.4820359281437128,10.0,0.0026073978169786553,0.7334127363160898,249,0
de,April28,exnf,94,290,3.0851063829787235,24.74468085106383,12.372340425531915,10.0,0.033173186913749715,0.7334127363160898,9,240
de,April28,ex,334,290,0.8682634730538922,6.9640718562874255,3.4820359281437128,10.0,0.0026073978169786553,0.7334127363160898,249,0
de,April28,exnf,94,290,3.0851063829787235,24.74468085106383,12.372340425531915,10.0,0.033173186913749715,0.7334127363160898,9,240
pod,April25,ex,336,678,2.017857142857143,12.529761904761905,6.2648809523809526,7.0,0.006023454157782516,0.5718730158730159,201,0
pod,April25,exnf,145,678,4.675862068965517,29.03448275862069,14.517241379310345,7.0,0.03247126436781609,0.5718730158730159,10,191
fs,April28,ex,261,230,0.8812260536398467,9.003831417624522,4.501915708812261,8.0,0.003389330975537872,0.6365967338907447,191,0
fs,April28,exnf,76,230,3.026315789473684,30.92105263157895,15.460526315789474,8.0,0.04035087719298246,0.6365967338907447,6,185
sh,April28,ex,354,717,2.0254237288135593,6.898305084745763,3.4491525423728815,9.0,0.005737744274259375,0.7057249944296491,151,0
sh,April28,exnf,219,717,3.2739726027397262,11.150684931506849,5.575342465753424,9.0,0.015018222948347367,0.7057249944296491,16,135
de,April28,ex,334,290,0.8682634730538922,6.9640718562874255,3.4820359281437128,10.0,0.0026073978169786553,0.7334127363160898,249,0
de,April28,exnf,94,290,3.0851063829787235,24.74468085106383,12.372340425531915,10.0,0.033173186913749715,0.7334127363160898,9,240
de,April28,ss,334,1576,4.718562874251497,30.634730538922156,15.317365269461078,7.0,0.014169858481235727,0.5247730125891692,10,0
de,April28,ts,334,3503,20.976047904191617,54.275449101796404,54.275449101796404,4.0,0.06299113484742228,0.44648235232599176,7,0
de,April28,ss,334,1576,4.718562874251497,30.634730538922156,15.317365269461078,7.0,0.014169858481235727,0.5247730125891692,10,0
de,April28,ex,334,290,0.8682634730538922,6.9640718562874255,3.4820359281437128,10.0,0.0026073978169786553,0.7334127363160898,249,0
de,April28,exnf,94,290,3.0851063829787235,24.74468085106383,12.372340425531915,10.0,0.033173186913749715,0.7334127363160898,9,240
de,April28,ts,334,3503,20.976047904191617,54.275449101796404,54.275449101796404,4.0,0.06299113484742228,0.4443904320867438,7,0
de,April28,ssncn,334,1576,4.718562874251497,30.634730538922156,15.317365269461078,7.0,0.014169858481235727,0.5247730125891692,10,0
de,April28,ss,332,1504,4.530120481927711,29.313253012048193,14.656626506024097,7.0,0.013686164597968915,0.553879198799234,10,0
pod,April25,ssncn,336,1974,5.875,47.17857142857143,23.589285714285715,7.0,0.01753731343283582,0.3956024258765667,5,0
pod,April25,ss,334,1887,5.649700598802395,44.203592814371255,22.101796407185628,7.0,0.016966067864271458,0.41542560704400605,5,0
pod,April25,exncn,336,678,2.017857142857143,12.529761904761905,6.2648809523809526,7.0,0.006023454157782516,0.5718730158730159,201,0
pod,April25,ex,334,678,2.029940119760479,12.604790419161677,6.302395209580839,7.0,0.006095916275556994,0.570859410430839,199,0
pod,April25,exnfncn,145,678,4.675862068965517,29.03448275862069,14.517241379310345,7.0,0.03247126436781609,0.570859410430839,10,189
pod,April25,exnf,145,678,4.675862068965517,29.03448275862069,14.517241379310345,7.0,0.03247126436781609,0.570859410430839,10,0
pod,April25,exncn,336,678,2.017857142857143,12.529761904761905,6.2648809523809526,7.0,0.006023454157782516,0.570859410430839,201,0
pod,April25,ex,334,678,2.029940119760479,12.604790419161677,6.302395209580839,7.0,0.006095916275556994,0.5718730158730159,199,0
pod,April25,exnfncn,145,678,4.675862068965517,29.03448275862069,14.517241379310345,7.0,0.03247126436781609,0.570859410430839,10,189
pod,April25,exnf,145,678,4.675862068965517,29.03448275862069,14.517241379310345,7.0,0.03247126436781609,0.5718730158730159,10,0
pod,April25,exncn,336,678,2.017857142857143,12.529761904761905,6.2648809523809526,7.0,0.006023454157782516,0.570859410430839,201,0
pod,April25,ex,334,678,2.029940119760479,12.604790419161677,6.302395209580839,7.0,0.006095916275556994,0.5718730158730159,199,0
pod,April25,exnfncn,145,678,4.675862068965517,29.03448275862069,14.517241379310345,7.0,0.03247126436781609,0.5718730158730159,10,189
pod,April25,exnf,145,678,4.675862068965517,29.03448275862069,14.517241379310345,7.0,0.03247126436781609,0.570859410430839,10,0
pod,April25,exncn,336,678,2.017857142857143,12.529761904761905,6.2648809523809526,7.0,0.006023454157782516,0.570859410430839,201,0
pod,April25,ex,334,678,2.029940119760479,12.604790419161677,6.302395209580839,7.0,0.006095916275556994,0.570859410430839,199,0
pod,April25,exnfncn,145,678,4.675862068965517,29.03448275862069,14.517241379310345,7.0,0.03247126436781609,0.570859410430839,10,189
pod,April25,exnf,145,678,4.675862068965517,29.03448275862069,14.517241379310345,7.0,0.03247126436781609,0.570859410430839,10,0
pod,April25,exncn,336,678,2.017857142857143,12.529761904761905,6.2648809523809526,7.0,0.006023454157782516,0.5718730158730159,201,0
pod,April25,ex,334,678,2.029940119760479,12.604790419161677,6.302395209580839,7.0,0.006095916275556994,0.5718730158730159,199,0
pod,April25,exnfncn,145,678,4.675862068965517,29.03448275862069,14.517241379310345,7.0,0.03247126436781609,0.5718730158730159,10,189
pod,April25,exnf,145,678,4.675862068965517,29.03448275862069,14.517241379310345,7.0,0.03247126436781609,0.570859410430839,10,0
pod,April25,exncn,336,678,2.017857142857143,12.529761904761905,6.2648809523809526,7.0,0.006023454157782516,0.5718730158730159,201,0
pod,April25,ex,334,678,2.029940119760479,12.604790419161677,6.302395209580839,7.0,0.006095916275556994,0.5718730158730159,199,0
pod,April25,exnfncn,145,678,4.675862068965517,29.03448275862069,14.517241379310345,7.0,0.03247126436781609,0.570859410430839,10,189
pod,April25,exnf,145,678,4.675862068965517,29.03448275862069,14.517241379310345,7.0,0.03247126436781609,0.5718730158730159,10,0
pod,April25,exncn,336,678,2.017857142857143,12.529761904761905,6.2648809523809526,7.0,0.006023454157782516,0.5718730158730159,201,0
pod,April25,ex,334,678,2.029940119760479,12.604790419161677,6.302395209580839,7.0,0.006095916275556994,0.570859410430839,199,0
pod,April25,exnfncn,145,678,4.675862068965517,29.03448275862069,14.517241379310345,7.0,0.03247126436781609,0.5718730158730159,10,189
pod,April25,exnf,145,678,4.675862068965517,29.03448275862069,14.517241379310345,7.0,0.03247126436781609,0.5718730158730159,10,0
pod,April25,exncn,336,678,2.017857142857143,12.529761904761905,6.2648809523809526,7.0,0.006023454157782516,0.570859410430839,201,0
pod,April25,ex,334,678,2.029940119760479,12.604790419161677,6.302395209580839,7.0,0.006095916275556994,0.570859410430839,199,0
pod,April25,exnfncn,145,678,4.675862068965517,29.03448275862069,14.517241379310345,7.0,0.03247126436781609,0.5718730158730159,10,189
pod,April25,exnf,145,678,4.675862068965517,29.03448275862069,14.517241379310345,7.0,0.03247126436781609,0.570859410430839,10,0
pod,April25,exncn,336,678,2.017857142857143,12.529761904761905,6.2648809523809526,7.0,0.006023454157782516,0.570859410430839,201,0
pod,April25,ex,334,678,2.029940119760479,12.604790419161677,6.302395209580839,7.0,0.006095916275556994,0.570859410430839,199,0
pod,April25,exnfncn,145,678,4.675862068965517,29.03448275862069,14.517241379310345,7.0,0.03247126436781609,0.5718730158730159,10,189
pod,April25,exnf,145,678,4.675862068965517,29.03448275862069,14.517241379310345,7.0,0.03247126436781609,0.5718730158730159,10,0
pod,April25,exncn,336,678,2.017857142857143,12.529761904761905,6.2648809523809526,7.0,0.006023454157782516,0.570859410430839,201,0
pod,April25,ex,334,678,2.029940119760479,12.604790419161677,6.302395209580839,7.0,0.006095916275556994,0.570859410430839,199,0
pod,April25,exnfncn,145,678,4.675862068965517,29.03448275862069,14.517241379310345,7.0,0.03247126436781609,0.5718730158730159,10,189
pod,April25,exnf,145,678,4.675862068965517,29.03448275862069,14.517241379310345,7.0,0.03247126436781609,0.570859410430839,10,0
pod,April25,exncn,336,678,2.017857142857143,12.529761904761905,6.2648809523809526,7.0,0.006023454157782516,0.570859410430839,201,0
pod,April25,ex,334,678,2.029940119760479,12.604790419161677,6.302395209580839,7.0,0.006095916275556994,0.5718730158730159,199,0
pod,April25,exnfncn,145,678,4.675862068965517,29.03448275862069,14.517241379310345,7.0,0.03247126436781609,0.5718730158730159,10,189
pod,April25,exnf,145,678,4.675862068965517,29.03448275862069,14.517241379310345,7.0,0.03247126436781609,0.5718730158730159,10,0
pod,April25,exncn,336,678,2.017857142857143,12.529761904761905,6.2648809523809526,7.0,0.006023454157782516,0.5718730158730159,201,0
pod,April25,ex,334,678,2.029940119760479,12.604790419161677,6.302395209580839,7.0,0.006095916275556994,0.5718730158730159,199,0
pod,April25,exnfncn,145,678,4.675862068965517,29.03448275862069,14.517241379310345,7.0,0.03247126436781609,0.5718730158730159,10,189
pod,April25,exnf,145,678,4.675862068965517,29.03448275862069,14.517241379310345,7.0,0.03247126436781609,0.5718730158730159,10,0
pod,April25,exncn,336,678,2.017857142857143,12.529761904761905,6.2648809523809526,7.0,0.006023454157782516,0.570859410430839,201,0
pod,April25,ex,334,678,2.029940119760479,12.604790419161677,6.302395209580839,7.0,0.006095916275556994,0.5718730158730159,199,0
pod,April25,exnfncn,145,678,4.675862068965517,29.03448275862069,14.517241379310345,7.0,0.03247126436781609,0.5718730158730159,10,189
pod,April25,exnf,145,678,4.675862068965517,29.03448275862069,14.517241379310345,7.0,0.03247126436781609,0.570859410430839,10,0
pod,April25,exncn,336,678,2.017857142857143,12.529761904761905,6.2648809523809526,7.0,0.006023454157782516,0.5718730158730159,201,0
pod,April25,ex,334,678,2.029940119760479,12.604790419161677,6.302395209580839,7.0,0.006095916275556994,0.570859410430839,199,0
pod,April25,exnfncn,145,678,4.675862068965517,29.03448275862069,14.517241379310345,7.0,0.03247126436781609,0.570859410430839,10,189
pod,April25,exnf,145,678,4.675862068965517,29.03448275862069,14.517241379310345,7.0,0.03247126436781609,0.570859410430839,10,0
pod,April25,exncn,336,678,2.017857142857143,12.529761904761905,6.2648809523809526,7.0,0.006023454157782516,0.570859410430839,201,0
pod,April25,ex,334,678,2.029940119760479,12.604790419161677,6.302395209580839,7.0,0.006095916275556994,0.5718730158730159,199,0
pod,April25,exnfncn,145,678,4.675862068965517,29.03448275862069,14.517241379310345,7.0,0.03247126436781609,0.570859410430839,10,189
pod,April25,exnf,145,678,4.675862068965517,29.03448275862069,14.517241379310345,7.0,0.03247126436781609,0.570859410430839,10,0
pod,April25,exncn,336,678,2.017857142857143,12.529761904761905,6.2648809523809526,7.0,0.006023454157782516,0.5718730158730159,201,0
pod,April25,ex,334,678,2.029940119760479,12.604790419161677,6.302395209580839,7.0,0.006095916275556994,0.570859410430839,199,0
pod,April25,exnfncn,145,678,4.675862068965517,29.03448275862069,14.517241379310345,7.0,0.03247126436781609,0.570859410430839,10,189
pod,April25,exnf,145,678,4.675862068965517,29.03448275862069,14.517241379310345,7.0,0.03247126436781609,0.5718730158730159,10,0
pod,April25,exncn,336,678,2.017857142857143,12.529761904761905,6.2648809523809526,7.0,0.006023454157782516,0.570859410430839,201,0
pod,April25,ex,334,678,2.029940119760479,12.604790419161677,6.302395209580839,7.0,0.006095916275556994,0.5718730158730159,199,0
pod,April25,exnfncn,145,678,4.675862068965517,29.03448275862069,14.517241379310345,7.0,0.03247126436781609,0.5718730158730159,10,189
pod,April25,exnf,145,678,4.675862068965517,29.03448275862069,14.517241379310345,7.0,0.03247126436781609,0.5718730158730159,10,0
pod,April25,ssncn,336,1974,5.875,47.17857142857143,23.589285714285715,7.0,0.01753731343283582,0.3956024258765667,5,0
pod,April25,ss,334,1887,5.649700598802395,44.203592814371255,22.101796407185628,7.0,0.016966067864271458,0.41542560704400605,5,0
pod,April25,ssncn,336,1974,5.875,47.17857142857143,23.589285714285715,7.0,0.01753731343283582,0.3956024258765667,5,0
